host_id,neighbourhood,latitude,longitude,room_type,price in $,minimum_nights,availability_365,Apartment_type,City,Rating,No_of_bed_rooms,No_of_beds,No_of_bathrooms,Bathroom_type
3040855.0,IJburg - Zeeburgereiland,52.36368,4.9794,Private room,112.0,1.0,278.0,Townhouse,Amsterdam,4.27,1.0,1.0,1.5,private
4663170.0,De Baarsjes - Oud-West,52.3607,4.85991,Entire home/apt,150.0,5.0,5.0,Condo,Amsterdam,4.73,3.0,3.0,1.0,private
2695123.0,De Baarsjes - Oud-West,52.36247,4.86534,Entire home/apt,450.0,4.0,19.0,Rental unit,Amsterdam,5.0,3.0,3.0,3.0,private
3015785.0,Centrum-West,52.381996,4.888583,Private room,143.0,1.0,32.0,Bed and breakfast,Amsterdam,4.86,,1.0,1.0,shared
5183517.0,Bijlmer-Centrum,52.32019,4.95501,Private room,78.0,3.0,159.0,Home,Amsterdam,4.85,1.0,1.0,1.5,private
4443833.0,Zuid,52.34025,4.8466,Entire home/apt,202.0,1.0,145.0,Rental unit,Amsterdam,4.76,2.0,2.0,1.5,private
538659.0,Centrum-West,52.36561,4.88492,Private room,117.0,3.0,67.0,Guest suite,Amsterdam,4.81,1.0,1.0,,private
3113556.0,Zuid,52.35094,4.88552,Entire home/apt,100.0,7.0,0.0,Houseboat,Amsterdam,5.0,3.0,3.0,2.5,private
898904.0,De Pijp - Rivierenbuurt,52.34918,4.89197,Entire home/apt,125.0,4.0,4.0,Rental unit,Amsterdam,4.82,1.0,1.0,1.0,private
4398387.0,De Pijp - Rivierenbuurt,52.35327,4.88703,Entire home/apt,800.0,30.0,0.0,Loft,Amsterdam,4.81,2.0,2.0,1.0,private
1347048.0,De Baarsjes - Oud-West,52.37262,4.87342,Entire home/apt,350.0,7.0,30.0,Rental unit,Amsterdam,4.82,3.0,3.0,2.5,private
3078488.0,Westerpark,52.38388,4.86562,Entire home/apt,109.0,91.0,154.0,Loft,Amsterdam,4.88,,4.0,1.0,private
1634910.0,Buitenveldert - Zuidas,52.32237,4.86024,Entire home/apt,240.0,6.0,0.0,Home,Amsterdam,4.94,4.0,4.0,3.5,private
2633774.0,De Pijp - Rivierenbuurt,52.35531,4.90333,Entire home/apt,355.0,5.0,252.0,Rental unit,Amsterdam,5.0,2.0,2.0,1.5,private
4520552.0,Centrum-West,52.38139,4.88541,Entire home/apt,180.0,93.0,188.0,Rental unit,Amsterdam,4.9,1.0,1.0,1.0,private
5297940.0,Zuid,52.34176,4.84782,Private room,95.0,2.0,233.0,Rental unit,Amsterdam,4.72,1.0,1.0,1.5,private
3278419.0,Centrum-West,52.37167,4.8948,Hotel room,143.0,1.0,122.0,Bed and breakfast,Amsterdam,4.87,1.0,1.0,,private
4543444.0,Zuid,52.35584,4.87401,Private room,150.0,4.0,221.0,Rental unit,Amsterdam,4.95,1.0,1.0,,private
3278419.0,Centrum-West,52.37098,4.89434,Hotel room,143.0,1.0,124.0,Bed and breakfast,Amsterdam,4.89,1.0,1.0,,private
4073717.0,Zuid,52.35049,4.84686,Private room,90.0,3.0,2.0,Place to stay,Amsterdam,4.97,1.0,1.0,,private
4592706.0,De Baarsjes - Oud-West,52.3719,4.86534,Entire home/apt,225.0,4.0,0.0,Condo,Amsterdam,4.63,1.0,1.0,1.0,private
3879155.0,De Baarsjes - Oud-West,52.37225,4.86262,Private room,31.0,28.0,1.0,Bed and breakfast,Amsterdam,4.4,1.0,1.0,1.0,shared
3317069.0,De Baarsjes - Oud-West,52.36188,4.87694,Private room,160.0,3.0,46.0,Bed and breakfast,Amsterdam,4.36,1.0,1.0,1.0,private
